text;created_at;coordinates;retweet_count;favorite_count;screen_name;location;lang;followers_count;geo_enabled;statuses_count;lat;long;hashtags
You're wasting your data 😂😂 https://t.co/MnD90iiZSl;Wed Aug 17 13:36:45 +0000 2016;;0.0;0.0;Boss_Haruna;Abuja, Nigeria;en;301.0;True;9286.0;9.0643305;7.4892974;
RT @ellisonbg: An incredible collection of Jupyter notebooks-new O'Reilly book by @jakevdp , Data Science Handbook https://t.co/63Ma7xunKn;Wed Aug 17 13:36:46 +0000 2016;;0.0;0.0;timelyportfolio;Birmingham, Alabama, USA;en;2206.0;False;19551.0;33.5206824;-86.8024325;
RT @craigbrownphd: Amazon Kinesis Analytics and the road to Big Data's killer app: Kinesis Analytics makes i... https://t.co/WOUHY8eXS9 #Bi…;Wed Aug 17 13:36:47 +0000 2016;;0.0;0.0;sdenfr4shhh;Rhode Island;en;45.0;True;3620.0;41.7962409;-71.5992371;#Bi…
RT @P0lS0NlVY: he used her MI's to manipulate her and then threw her into acid and in the movie he tortured her to become harley https://t.…;Wed Aug 17 13:36:48 +0000 2016;;0.0;0.0;E_mily1998;home;en;233.0;True;4544.0;51.8253788;9.0184079;
@Bibobll @JubyPhonic_P We're both valor but Spark is love, Spark is life. https://t.co/yhQJQQJ3h8;Wed Aug 17 13:36:49 +0000 2016;;0.0;0.0;Gergory001;Pennsylvania, USA;en;1.0;False;45.0;40.9699889;-77.727883;
"Work smarter to get the best return on data analytics: 
https://t.co/fQe26Fc2jY";Wed Aug 17 13:36:51 +0000 2016;;0.0;0.0;DataSalon;Oxford, UK;en;1635.0;False;950.0;51.752225;-1.2583027;
Sentia_UK: 1ClickCassandraCluster for Your Big Data Center Cloud - https://t.co/HzceuBEDq6 The Absorbent Mind: https://t.co/iknHvitZbM;Wed Aug 17 13:37:00 +0000 2016;;0.0;0.0;CloudataNow;San Francisco, CA;en;880.0;False;2066870.0;37.7792808;-122.4192362;
No #datascience, no problem! Learn to ask big questions with data (even if you stink at math)— smart like how https://t.co/GFhzzC3fST;Wed Aug 17 13:37:01 +0000 2016;;0.0;0.0;ReverseHeadhunt;London, England;en;6664.0;False;2553.0;51.5073219;-0.1276473;#datascience,
RT @dailycampuslife: Brb planning next years summer vacation https://t.co/02jg6J1SIp;Wed Aug 17 13:37:02 +0000 2016;;0.0;0.0;theangiederosa;Connecticut, USA;en;157.0;True;1974.0;41.6500201;-72.7342162;
"Entities move data from tables to knowledge

#OReilly #Data #Science https://t.co/PWHQjuVL9v";Wed Aug 17 13:37:10 +0000 2016;;0.0;0.0;EdgarTwit1;Torres Vedras Portugal;en;609.0;False;64984.0;39.0925372;-9.2598536;#OReilly #Data #Science
RT @craigbrownphd: Amazon Kinesis Analytics and the road to Big Data's killer app: Kinesis Analytics makes i... https://t.co/WOUHY8eXS9 #Bi…;Wed Aug 17 13:37:11 +0000 2016;;0.0;0.0;URTheTlgersRoar;Canton, MO;en;333.0;True;4022.0;40.7989522;-81.3784444;#Bi…
RT @cxdig: The Hidden Danger of Big Data by @SenseableCity @DirkHelbing https://t.co/11OcJVALt1 https://t.co/8MSScdC9Ux;Wed Aug 17 13:37:11 +0000 2016;;0.0;0.0;MsFluffPawz;Webster NY;en;234.0;False;2314.0;43.2122851;-77.4299938;
RT @CRMTopNews: Making Big Data Drive Digital Transformation – As Disru... https://t.co/nohehC6tFW via @Greyhound_R https://t.co/QLqDzQ0tzL;Wed Aug 17 13:37:16 +0000 2016;;0.0;0.0;BenjaminMarcon;Dublin, Irlande;fr;508.0;False;22562.0;53.3497645;-6.2602731;
RT @randal_olson: https://t.co/ye1XaaENfz : a #Python tool to download and manage TV shows. #entertainment https://t.co/bAwVaAR9vQ;Wed Aug 17 13:37:16 +0000 2016;;0.0;0.0;FenrirJP;Natsu...;en;3062.0;False;5914.0;48.204168;16.3467727;#Python #entertainment
RT @BestMovieLine: Monty Python and the Holy Grail https://t.co/wHZ2kHAzy5;Wed Aug 17 13:37:22 +0000 2016;;0.0;0.0;griffwilliams_;mcr;en;256.0;False;5525.0;51.7506898;-1.25311198253273;
"RT @MichelleVito: you show me love never apart, you're always there for me i'm alright. you are the spark 🎶 #LSS
@lizasoberano 😍😍 https://t…";Wed Aug 17 13:37:24 +0000 2016;;0.0;0.0;lovelyluv09;Shreveport, LA;en;489.0;True;75701.0;32.4828485;-93.8284831615932;#LSS
